sexe;prenom;nombre
2;KELLY;25152
1;AMINE;25054
1;BRYAN;25043
2;AXELLE;25023
1;EDDY;24828
1;YOHAN;24767
2;ELENA;24711
2;LOUANE;24665
2;OLGA;24580
2;CASSANDRA;24579
2;CLAUDIE;24545
1;RENAUD;24491
2;MAELLE;24392
2;MYLÈNE;24368
2;LÉONE;24280
1;SOFIANE;24244
1;EMILIEN;24207
2;LÉONTINE;24066
2;ROSELYNE;23978
2;MALIKA;23822
1;TEDDY;23657
2;VIOLETTE;23532
1;RODOLPHE;23402
2;CANDICE;23355
1;CHARLY;23299
2;ELOISE;23050
2;PERRINE;22983
2;LEILA;22955
1;YOHANN;22951
1;JÉRÔME;22863
2;INAYA;22764
1;MALO;22740
2;LILY;22675
2;ROXANE;22616
2;DIANE;22580
2;COLINE;22535
2;CYNTHIA;22535
1;TIAGO;22525
2;NORA;22456
1;AYMERIC;22343
1;EDEN;22310
1;NOE;22297
1;AHMED;22289
2;MIA;22210
2;ROSALIE;22087
1;JUSTIN;22038
1;TIMOTHÉE;22013
1;IBRAHIM;21967
1;KILLIAN;21931
1;STEVE;21825
1;ISAAC;21679
2;SYLVIA;21508
2;FLORA;21400
2;MARIE-NOËLLE;21349
1;TITOUAN;21272
2;CHRISTEL;21223
1;YASSINE;21130
1;JASON;21106
1;STANISLAS;21105
1;NINO;21094
2;FAUSTINE;21084
1;YOUSSEF;20908
1;ALAN;20746
2;EDWIGE;20689
2;CLAUDIA;20632
1;ANTONIO;20570
2;ANNE-LAURE;20496
1;RUDY;20460
2;GWENDOLINE;20337
1;DIEGO;20295
2;LOUISETTE;20133
2;IRIS;20045
2;ANGELINA;20044
1;AMAURY;20019
2;CÉCILIA;19981
2;ASSIA;19963
1;ROMUALD;19929
1;ILYES;19897
2;JEANNETTE;19691
2;FLORIANE;19678
2;MARIE-JEANNE;19667
1;RYAN;19437
1;JEAN-CHARLES;19419
2;LOUISA;19360
1;JOHANN;19329
2;KENZA;19250
2;ANISSA;19249
1;ANGE;19182
1;CÉDRIC;19116
2;APOLLINE;19095
2;MARIE-PAULE;19071
2;FLAVIE;18868
1;DÉSIRÉ;18854
2;ROMY;18833
2;NOÉMIE;18780
1;RACHID;18748
2;GWENAELLE;18734
1;MATÉO;18726
1;WILLY;18647
2;TIPHAINE;18636
2;ESTHER;18622
2;ANNABELLE;18616
1;PIERRICK;18595
2;ROSELINE;18591
2;STELLA;18393
1;JULIAN;18362
1;NOAM;18307
2;AYA;18290
1;DANY;18191
1;FARID;18166
2;ROSA;18130
1;SAMY;18107
1;TANGUY;18030
1;JACKIE;18024
1;AYOUB;17960
2;ANAELLE;17917
2;ELEONORE;17914
2;VICTORINE;17886
2;EVELINE;17766
2;SAMANTHA;17739
1;ALLAN;17691
2;LILA;17654
2;LÉANA;17648
2;ASTRID;17577
1;ANTONY;17572
1;GAUTHIER;17555
1;MIKAEL;17532
2;PEGGY;17523
